"","hu","Mediana","Média","Desvio-padrão","Mínimo","Máximo"
"1","32","4965.5009765625","151132.421691895","1171570.625","412335.171789412","1783.1083984375"
"2","32","3403.85900878906","154610.814941406","421312.673165723","1307.14086914062","1197188.5"
"3","10","4668.79431152344","151208.268722534","1632.05322265625","1161432.875","408279.535423749"
"4","19","3803.1689453125","155592.454483032","1287.62585449219","1197179.5","420958.305519324"
"5","10","5623.99267578125","136164.436019897","1550.22058105469","1045674.8125","367525.375870812"
"6","32","6209.17749023438","147760.016876221","400453.38883653","1790.45434570312","1138783.125"
"7","10","5444.51196289062","113911.955368042","1760.45446777344","875122.0625","307590.816416426"
"8","25","4558.9921875","146393.972702026","1507.5234375","1138776.75","400995.099509074"
"9","32","3987.73596191406","146420.184844971","400982.551703119","1387.1806640625","1138775.25"
"10","32","2156.62927246094","155568.103302002","421010.806675987","1318.07983398438","1197180.125"
"11","32","3297.21923828125","154360.818084717","422049.112272245","1702.04650878906","1198803.25"
