"t","Média","Mediana","Mínimo","Máximo","Desvio-padrão"
"ALB",3.84201468070348,3.73570048809052,2.74987053871155,7.7246208190918,0.687921218484651
"ART",4.13852826635043,4.06225419044495,3.30685544013977,6.08640909194946,0.499937293953225
"BGM",3.91946247498194,3.8357709646225,3.10264611244202,6.02422523498535,0.490689111029269
"BUF",4.44325779994329,4.38617539405823,3.37322068214417,7.03522062301636,0.573303121173204
"HPN",4.04870876431465,3.99187803268433,3.14504027366638,6.13656854629517,0.493818013589738
"LGA",4.05805167595545,4.00709557533265,3.2057056427002,5.54573965072632,0.434099977558498
"JFK",4.45752632657687,4.38325810432434,3.44580316543579,7.12914371490479,0.596768595752864
"MSS",4.28878230889638,4.20105409622192,3.28150868415833,7.20187473297119,0.550556043837768
"RME",3.90458476662636,3.84523773193359,3.06770706176758,5.75632524490356,0.473638939863254
"ROC",3.90854357639949,3.82987892627716,3.22876572608948,5.11424684524536,0.408745079701807
"SYR",3.76597010533015,3.69632601737976,3.11503863334656,5.50296640396118,0.413089907875681
