"ano","dia","hora"
2015,39,15
2015,50,10
2015,52,23
2015,74,3
2015,74,4
2015,94,12
2015,132,10
2015,191,12
2015,363,13
2016,59,16
2016,70,22
2016,87,10
2016,88,13
2016,117,16
2016,123,19
2016,123,23
2016,126,4
2016,134,15
2016,157,13
2016,205,2
2016,236,11
2016,264,10
2016,265,13
2016,265,14
2016,326,12
2016,335,7
2016,357,17
2017,32,11
2017,47,13
2017,92,1
2017,109,20
2017,176,19
2017,220,9
2017,298,4
2017,307,13
2018,8,1
2018,46,16
2018,53,2
2018,54,22
2018,61,20
2018,65,22
2018,73,10
2018,88,6
2018,88,17
2018,90,2
2018,96,22
2018,109,23
2018,110,21
2018,112,19
2018,114,6
2018,115,10
2018,118,9
2018,118,15
2018,119,22
2018,120,1
2018,125,1
2018,129,4
2018,129,5
2018,129,6
2018,130,4
2018,130,5
2018,163,7
2018,183,10
2018,183,11
2018,183,18
2018,183,22
2018,184,1
2018,184,8
2018,184,12
2018,184,15
2018,184,18
2018,184,22
2018,185,4
2018,185,5
2018,185,9
2018,185,11
2018,186,7
2018,186,14
2018,186,20
2018,186,23
2018,187,5
2018,187,6
2018,187,7
2018,187,8
2018,187,9
2018,187,12
2018,187,21
2018,188,4
2018,188,11
2018,188,20
2018,188,22
2018,189,5
2018,189,14
2018,189,21
2018,190,4
2018,190,13
2018,190,20
2018,190,22
2018,191,5
2018,191,14
2018,191,23
2018,192,6
2018,192,15
2018,193,0
2018,193,7
2018,193,13
2018,193,14
2018,193,15
2018,193,16
2018,193,17
2018,193,18
2018,193,19
2018,193,20
2018,193,21
2018,193,22
2018,193,23
2018,194,0
2018,194,1
2018,194,2
2018,194,3
2018,194,4
2018,194,5
2018,194,6
2018,194,7
2018,194,8
2018,194,9
2018,194,10
2018,194,11
2018,194,12
2018,194,13
2018,194,14
2018,194,15
2018,194,16
2018,194,17
2018,194,18
2018,194,19
2018,194,20
2018,194,21
2018,194,22
2018,194,23
2018,195,0
2018,195,1
2018,195,2
2018,195,3
2018,195,4
2018,195,5
2018,195,6
2018,195,7
2018,195,8
2018,195,9
2018,195,10
2018,195,11
2018,195,12
2018,195,13
2018,195,14
2018,195,15
2018,195,16
2018,195,17
2018,195,18
2018,195,19
2018,195,20
2018,195,21
2018,195,22
2018,195,23
2018,196,0
2018,196,1
2018,196,2
2018,196,3
2018,196,4
2018,196,5
2018,196,6
2018,196,7
2018,196,8
2018,196,9
2018,196,10
2018,196,11
2018,196,12
2018,196,13
2018,196,14
2018,196,15
2018,196,16
2018,196,17
2018,196,18
2018,196,22
2018,196,23
2018,230,1
2018,230,10
2018,231,4
2018,231,6
2018,231,21
2018,231,22
2018,231,23
2018,232,7
2018,232,16
2018,233,5
2018,233,12
2018,233,20
2018,234,9
2018,234,12
2018,235,4
2018,236,6
2018,236,19
2018,236,20
2018,242,13
2018,247,6
2018,259,17
2018,259,18
2018,259,19
2018,260,2
2018,260,3
2018,260,4
2018,260,5
2018,260,6
2018,260,7
2018,264,13
2018,269,6
2018,356,2
2019,52,7
2019,114,20
2015,7,22
2018,1,19
2019,82,1
2019,82,2
2019,82,3
2019,82,4
2019,82,5
2019,82,6
2019,82,7
2019,82,8
2019,82,9
2019,82,10
2019,82,11
2019,82,12
2019,82,13
2019,82,14
2019,82,15
2019,98,6
2019,155,17
2019,267,15
2019,305,4
2019,305,5
2019,305,6
2019,305,7
2019,305,8
2019,305,9
